objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
11,YTan_11,,,Black Tea Dyed Fabric,Amelia Eldridge,Feb. 2020,"I am backing the scroll with black tea dyed muslin. I ejoyed drinking tea in the studio, so it seemed extra fitting to back it with tea dyed fabric. I love the fawn color. ",Black Tea and Muslin,"Y Ferwig, Wales",,,,,,image/jpg,,,
12,YTan_12,,,Birds in the Back Country,Amelia Eldridge,Feb. 2020,Richard took me into the back country of the Cambrian Mountains. Red kites fly over small lakes. Birds by the sea in Mwnt.,"Papercut on Rice Paper, Black Tea Dyed Muslin","Ceredigion, Wales",,,,,,image/jpg,,,
13,YTan_13,,,Red Kites,Amelia Eldridge,"Feb. 11, 2020","Richard stopped at Bwlch Nant yr Arian Forest Vistitor Center, where we had a quick lunch. We then watched a feeding of Red Kites by the small lake. There were so many kites. It was after that we went on to the back roads of the Cambrian Mountains. Red kites are beautiful birds, with red feathers. They were almost completely wiped out by farmers who used poison to kill them, however their numbers are now back up due to a conservation program. One of my favorite cuts on the scroll.",Papercut on Rice Paper,"Aberystwyth, Wales",,,,,,image/jpg,,,
14,YTan_14,,,Final Scroll Suspension Shot Taken at Createspace,Amelia Eldridge,March 2020,This was the final hanging shot I took of the scroll at the residency. After this I rolled it right up and stuck it in my backpack/bag. Perfect for traveling-which was my intention for taking it to work on at the residency.,"Papercut on Rice Paper, Black Tea Dyed Muslin","Y Ferwig, Wales",,,,,,image/jpg,,,
15,YTan_15,,,Wise Old Wild Apple Tree of Bwlchystyllen,Amelia Eldridge,"Feb. 11, 2020","I met my one true love in the backcountry of the Cambrian Mountains. A wise old wild apple tree next to a ruined farm house, overlooking a small reservoir used for one of the old lead/silver mines. I could have laid down there and drifted away with the fair folk. We came upon it after leaving Gwaith Cwmsymlog mine. Gwaith Cwmsymlog translates to ""Valley of the Wild Strawberries."" ","Papercut on Rice Paper, Black Tea Dyed Muslin","Nant y Moch, Wales",,,,,,image/jpg,,,
16,YTan_16,,,Tylwyth Teg,Amelia Eldridge,Feb./March 2020,"Tylwyth Teg, which corresponds to the fairy folk in Welsh, were my constant companions on my trip. They were always present. Particularly in the backcountry of the Cambrian Mountains.","Papercut on Rice Paper, Black Tea Dyed Muslin","Ceredigion, Wales",,,,,,image/jpg,,,
17,YTan_17,,,Dragon of the Eryri,Amelia Eldridge,"March 3, 2020","I went on a second tour with Richard, his Snowdonia Tour. I first contacted Richard to take me to Snowdonia. He then suggested his signature Cambrian Mountain tour as well. I read the story of Y Ddraig Goch, the red dragon of Wales, being buried in Dinas Emrys and I wanted to visit. It was where the famous battle between the red Welsh dragon and the White English Dragon took place. Y Ddraig Goch won! Snowdonia, or Eryri as it is called in Welsh, is the perfect place for dragons to play.","Papercut on Rice Paper, Black Tea Dyed Muslin","Snowdonia, Wales",,,,,,image/jpg,,,
18,YTan_18,,,The Lady of the Lake,Amelia Eldridge,"March 3, 2020","One of the places I asked Richard to take me to was Cwm Idwal. When facing away from Cwm Idwal, one looks upon Llyn Ogwen. Llyn (lake) Ogwen is one of the lakes in Wales where the Lady of the Lake is said to reside. It functions as a portal to pass through the mists to Avalon, a mythical otherworld in Arthurian legend. In King Arthurs last battle, the Battle of Camlann, his knight Sir Bedwyr throws Excalibur into the lake. The Lady of the Lake emerges from the lake, catches it, and takes it back to Avalon where she herself had had it forged.  ","Papercut on Rice Paper, Black Tea Dyed Muslin","Snowdonia, Wales",,,,,,image/jpg,,,
19,YTan_19,,,Cardiff Castle,Amelia Eldridge,"March 6, 2020",The mountains of Snowdonia give way to Cardiff Castle. Cardiff being my final stop before heading back to the United States. The Keep of the castle has stood since Roman times. My last night in Cardiff I took an amazing ghost tour of Cardiff Castle with Dark Wales Tours. Really informative and not at all cheesy. The next morning I flew back to Maryland.I got back to the United States a mere few days before country borders closed due to the Covid-19 pandemic.,"Papercut on Rice Paper, Black Tea Dyed Muslin","Cardiff, Wales",,,,,,image/jpg,,,
20,YTan_20,,,Y Gwyllgi ,Amelia Eldridge,"March 6, 2020","Throughout the tour, our guide told us different ghost stories associated with the castle, and experiences he had had while giving tours. At the end of the tour he told us one particular story where a previous tour attendee had said a huge black dog had been following them for their whole tour- which no one else had seen. At the end of the tour after the man disclosed that, their tour group heard a long loud growl. The security guard-who was not with the group-when later told about this event said he saw a huge black dog run across the grounds to The Keep earlier that night. A Gwyllgi is a huge black spectral dog. It is depicted here howling at the full moon that has risen over the Keep of Cardiff Castle.","Papercut on Rice Paper, Black Tea Dyed Muslin","Cardiff, Wales",,,,,,image/jpg,,,
